role_id,skill_id,target_level,importance
ml_engineer,python,0.90,1.0
ml_engineer,statistics,0.70,0.8
ml_engineer,numpy,0.85,0.8
ml_engineer,pandas,0.85,0.8
ml_engineer,data_cleaning,0.65,0.6
ml_engineer,sql,0.55,0.5
ml_engineer,data_viz,0.60,0.5
ml_engineer,ml_fundamentals,0.85,1.0
ml_engineer,regression,0.75,0.8
ml_engineer,classification,0.80,0.9
ml_engineer,model_evaluation,0.80,0.9
ml_engineer,feature_engineering,0.75,0.8
ml_engineer,ensemble,0.70,0.7
ml_engineer,deep_learning,0.70,0.8
ml_engineer,cnn,0.55,0.5
ml_engineer,nlp,0.55,0.5
ml_engineer,ml_system_design,0.70,0.8
ml_engineer,fastapi,0.60,0.6
ml_engineer,docker,0.60,0.6
ml_engineer,cloud,0.60,0.6
ml_engineer,mlops,0.65,0.8
ml_engineer,monitoring,0.50,0.6
ml_engineer,git,0.60,0.5
ai_engineer,python,0.90,1.0
ai_engineer,statistics,0.70,0.7
ai_engineer,numpy,0.80,0.7
ai_engineer,pandas,0.80,0.7
ai_engineer,ml_fundamentals,0.85,0.9
ai_engineer,model_evaluation,0.75,0.8
ai_engineer,feature_engineering,0.70,0.7
ai_engineer,deep_learning,0.80,0.9
ai_engineer,nlp,0.75,0.8
ai_engineer,transform_models,0.65,0.8
ai_engineer,fastapi,0.65,0.7
ai_engineer,docker,0.60,0.6
ai_engineer,cloud,0.60,0.6
ai_engineer,mlops,0.60,0.7
ai_engineer,git,0.60,0.5
data_scientist,python,0.85,1.0
data_scientist,sql,0.70,0.7
data_scientist,statistics,0.85,0.9
data_scientist,numpy,0.75,0.6
data_scientist,pandas,0.80,0.8
data_scientist,data_cleaning,0.75,0.8
data_scientist,data_viz,0.70,0.7
data_scientist,ml_fundamentals,0.75,0.9
data_scientist,regression,0.70,0.8
data_scientist,classification,0.70,0.8
data_scientist,model_evaluation,0.65,0.7
data_scientist,feature_engineering,0.60,0.6
data_scientist,experimentation,0.60,0.7
data_scientist,data_storytelling,0.65,0.7
data_scientist,git,0.55,0.4
data_analyst,excel,0.70,0.6
data_analyst,sql,0.80,0.9
data_analyst,python,0.55,0.6
data_analyst,pandas,0.65,0.7
data_analyst,data_cleaning,0.65,0.7
data_analyst,data_viz,0.75,0.9
data_analyst,statistics,0.60,0.6
data_analyst,data_storytelling,0.65,0.8
data_analyst,powerbi,0.55,0.6
cybersecurity_analyst,networking,0.70,0.7
cybersecurity_analyst,linux,0.60,0.6
cybersecurity_analyst,security_fundamentals,0.80,1.0
cybersecurity_analyst,network_security,0.60,0.6
cybersecurity_analyst,web_security,0.55,0.6
cybersecurity_analyst,cryptography,0.40,0.4
cybersecurity_analyst,threat_intel,0.60,0.7
cybersecurity_analyst,siem,0.65,0.8
cybersecurity_analyst,incident_response,0.55,0.7
cybersecurity_analyst,soc,0.60,0.7
cybersecurity_analyst,cloud_security,0.40,0.4
penetration_tester,networking,0.70,0.7
penetration_tester,linux,0.70,0.7
penetration_tester,security_fundamentals,0.75,0.8
penetration_tester,network_security,0.70,0.7
penetration_tester,web_security,0.75,0.8
penetration_tester,cryptography,0.45,0.4
penetration_tester,pen_testing,0.80,1.0
penetration_tester,security_automation,0.50,0.5
cloud_engineer,linux,0.70,0.7
cloud_engineer,networking,0.60,0.6
cloud_engineer,cloud,0.85,1.0
cloud_engineer,aws,0.80,0.9
cloud_engineer,cloud_arch,0.65,0.8
cloud_engineer,terraform,0.70,0.8
cloud_engineer,kubernetes,0.60,0.6
cloud_engineer,cicd,0.60,0.6
cloud_engineer,docker,0.60,0.6
cloud_engineer,git,0.55,0.5
devops_engineer,linux,0.70,0.7
devops_engineer,cloud,0.70,0.7
devops_engineer,docker,0.85,0.9
devops_engineer,kubernetes,0.80,0.9
devops_engineer,cicd,0.85,1.0
devops_engineer,terraform,0.75,0.8
devops_engineer,git,0.70,0.6
devops_engineer,site_reliability,0.55,0.6
devops_engineer,monitoring,0.50,0.5
software_engineer,python,0.80,0.8
software_engineer,javascript,0.70,0.7
software_engineer,git,0.75,0.7
software_engineer,databases,0.70,0.7
software_engineer,rest_apis,0.75,0.8
software_engineer,testing,0.60,0.6
software_engineer,system_design,0.55,0.6
software_engineer,docker,0.50,0.5
software_engineer,html_css,0.55,0.4
software_engineer,linux,0.50,0.4
web_developer,html_css,0.90,0.9
web_developer,javascript,0.85,1.0
web_developer,typescript,0.60,0.6
web_developer,react,0.70,0.8
web_developer,node,0.60,0.6
web_developer,sql,0.50,0.5
web_developer,git,0.60,0.6
web_developer,rest_apis,0.55,0.5
