project_id,title,description,skills,difficulty,duration_hours,prerequisites,career_roles,deliverables,dataset_hint
p_titanic,Titanic Survival Prediction,"Build your first end-to-end classification model and submit predictions.",ml_fundamentals;classification;model_evaluation,2,8,python;pandas,ml_engineer;data_scientist,"Clean notebook with EDA, feature engineering, model and leaderboard score.",Kaggle Titanic dataset
p_house_prices,House Price Regression,"Predict sale prices with regression, feature engineering, and ensembling.",regression;feature_engineering;model_evaluation,3,12,ml_fundamentals,ml_engineer;data_scientist,"Regression model with RMSE report and feature importance analysis.",Kaggle House Prices dataset
p_churn,Customer Churn Prediction,"Predict which customers will churn and explain why.",classification;model_evaluation;data_cleaning,3,14,ml_fundamentals;feature_engineering,ml_engineer;data_scientist,"Model card, ROC/PR curves, SHAP explanation notebook.",Telco customer churn dataset (IBM sample)
p_fraud,Credit Card Fraud Detection,"Detect fraudulent transactions under extreme class imbalance.",classification;model_evaluation;data_cleaning,4,16,ml_fundamentals;classification,ml_engineer;data_scientist,"Precision/recall trade-off analysis and final pickled model.",Kaggle Credit Card Fraud dataset
p_movie_rec,Movie Recommendation System,"Build a hybrid recommender: collaborative filtering plus content features.",recommender_systems;ml_fundamentals;model_evaluation,4,18,ml_fundamentals,python;ml_engineer,"Working recommender with offline evaluation (precision@k).",MovieLens small dataset
p_sentiment,Sentiment Analysis with Transformers,"Fine-tune a transformer model for sentiment classification.",nlp;transform_models;deep_learning,4,15,deep_learning;python,ai_engineer;ml_engineer,"Fine-tuned model + inference demo + evaluation report.",IMDb reviews or SST-2
p_image_classifier,Image Classifier with CNNs,"Train a CNN on images with transfer learning and data augmentation.",cnn;deep_learning,4,18,deep_learning,ml_engineer;ai_engineer,"Trained model with accuracy curves and misclassification analysis.",CIFAR-10 or a small custom dataset
p_rag_chatbot,RAG Chatbot over Your Documents,"Build a retrieval-augmented chatbot that answers from a knowledge base.",transform_models;nlp;fastapi,4,20,transform_models,ai_engineer;ml_engineer,"RAG app with vector store, citations, and eval set.",Your own PDFs or a public corpus
p_ml_api,End-to-End ML API,"Package a trained model behind FastAPI with Docker and monitoring.",fastapi;docker;mlops;ml_system_design,4,16,ml_fundamentals;fastapi,ml_engineer;ai_engineer,"Deployed API with OpenAPI docs, Dockerfile, and load test results.",Any trained model from a previous project
p_ml_monitoring,ML Monitoring Dashboard,"Track model drift and performance in production with dashboards.",monitoring;mlops;data_viz,4,12,mlops,ml_engineer,"Dashboard showing drift alerts and performance over time.",Simulated or logged production predictions
p_sales_forecast,Sales Forecasting,"Forecast sales with time-series-aware regression.",regression;statistics;feature_engineering,3,12,ml_fundamentals;statistics,ml_engineer;data_scientist,"Forecast plot, backtest error metrics, and report.","Retail sales datasets (e.g., Rossmann)"
p_ab_test,A/B Testing Analysis,"Design and analyze an experiment end-to-end with statistical rigor.",experimentation;statistics;data_storytelling,4,12,statistics;ml_fundamentals,data_scientist,"Experiment plan, power analysis, and significance report.",Simulated conversion data
p_eda_portfolio,Exploratory Data Analysis Portfolio,"Deep-dive EDA of a real dataset with a storytelling narrative.",pandas;data_viz;data_storytelling,2,10,pandas,data_scientist;data_analyst,"EDA notebook with charts, insights, and recommendations.",Any public dataset you care about
p_powerbi_dashboard,Interactive Power BI Dashboard,"Design an interactive business dashboard from raw data.",powerbi;data_viz;data_cleaning,3,12,sql;data_viz,data_analyst,"Published dashboard with DAX measures and design rationale.",Public business dataset
p_password_analyzer,Password Strength Analyzer,"Build a Python tool that scores password strength and detects weak patterns.",python;security_fundamentals,2,6,python,cybersecurity_analyst,"CLI tool with tests and a short report.",Synthetic password corpus
p_network_scanner,Network Scanner,"Write a Python port scanner with safe, scoped scanning logic.",networking;python;bash,3,8,linux;python,cybersecurity_analyst;penetration_tester,"Working scanner with documentation and scope guardrails.",Your local lab environment only
p_ctf_challenges,Security CTF Sprint,"Complete a set of beginner-to-intermediate capture-the-flag challenges.",web_security;pen_testing;network_security,3,10,security_fundamentals,penetration_tester;cybersecurity_analyst,"Write-ups for each challenge with the technique used.",TryHackMe or PortSwigger lab rooms
p_soc_playbook,SOC Alert Triage Playbook,"Create a triage playbook and simulate an alert investigation.",siem;incident_response;soc,3,10,security_fundamentals,cybersecurity_analyst,"Written playbook and walkthrough of one simulated incident.",Splunk free tier or simulated logs
p_aws_threetier,Deploy a 3-Tier App on AWS,"Deploy a web app with web, app, and database tiers on AWS.",aws;cloud_arch;docker,4,14,cloud;aws,cloud_engineer,"Deployed stack with architecture diagram and cost estimate.",Your own app or the course sample app
p_terraform_env,Terraform Multi-Environment Infrastructure,"Provision dev and prod environments with Terraform modules.",terraform;cloud,3,10,cloud;terraform,cloud_engineer;devops_engineer,"Terraform modules, state setup, and apply logs.",AWS/GCP free tier
p_k8s_deploy,Deploy Microservices on Kubernetes,"Containerize and orchestrate a microservices app with Kubernetes.",kubernetes;docker;cicd,4,14,docker;cloud,devops_engineer;cloud_engineer,"Running cluster deployment with manifests and rollback demo.",The sample microservices app
p_cicd_pipeline,CI/CD Pipeline for a Web App,"Automate build, test, and deploy with GitHub Actions.",cicd;git;testing,3,8,git;docker,devops_engineer;software_engineer,"Working pipeline YAML and green build log.",Any small repo you own
p_rest_api,Production-Ready REST API,"Design and build a tested REST API with docs and auth.",rest_apis;testing;node,3,12,rest_apis,software_engineer;web_developer,"API with tests, OpenAPI docs, and deployment config.",Your own idea
p_fullstack_app,Full-Stack Web Application,"Build a complete app: frontend, backend, database, and auth.",react;node;sql;git,4,30,react;node,web_developer;software_engineer,"Deployed app with repo, README, and demo video.",Your own idea
p_portfolio_website,Personal Portfolio Website,"Ship a responsive personal site with projects and resume.",html_css;javascript;git,2,10,html_css,web_developer,"Deployed site with source on GitHub.",Your own content
