course_id,title,description,provider,skills,difficulty,duration_hours,format,prerequisites,career_roles,url,tags
c_python4everybody,Python for Everybody,"A beginner-friendly full introduction to Python programming and data structures.",University of Michigan (py4e),python,1,45,course,,ml_engineer;data_scientist;data_analyst;software_engineer;ai_engineer,https://www.py4e.com/,programming;foundation
c_kaggle_python,Kaggle Learn: Python,"Learn Python programming in short, hands-on exercises with real data.",Kaggle,python,1,8,interactive,,ml_engineer;data_scientist;data_analyst;software_engineer;ai_engineer,https://www.kaggle.com/learn/python,programming;foundation;short
c_numpy_quickstart,NumPy Quickstart Tutorial,"Official introduction to vectorized numerical computing with NumPy arrays.",NumPy,python;numpy,2,3,docs,python,ml_engineer;data_scientist;ai_engineer,https://numpy.org/doc/stable/user/quickstart.html,numerical;reference
c_kaggle_pandas,Kaggle Learn: Pandas,"Practice DataFrames with guided exercises: filtering, grouping, merging.",Kaggle,pandas,2,6,interactive,python,ml_engineer;data_scientist;data_analyst;ai_engineer,https://www.kaggle.com/learn/pandas,data;foundation
c_statquest,StatQuest Statistics Fundamentals,"Clear visual explanations of statistics concepts used across data science.",StatQuest,python;statistics,2,12,video,python,ml_engineer;data_scientist;data_analyst,https://www.youtube.com/playlist?list=PLblh5JKOoLUICTaGLRoHQDuF_7q2GfuJF,statistics;video
c_khan_stats,Khan Academy Statistics & Probability,"Interactive course covering distributions, inference, and probability.",Khan Academy,statistics;probability,2,20,course,python,data_scientist;data_analyst;ml_engineer,https://www.khanacademy.org/math/statistics-probability,statistics;foundation
c_ml_crash_course,Google Machine Learning Crash Course,"Google's practical ML course: loss, gradient descent, regularization, evaluation.",Google,ml_fundamentals;model_evaluation,3,15,interactive,python;statistics,ml_engineer;ai_engineer;data_scientist,https://developers.google.com/machine-learning/crash-course,ml;foundation
c_kaggle_intro_ml,Kaggle Intro to Machine Learning,"Your first ML models: decision trees, overfitting, and scoring with scikit-learn.",Kaggle,ml_fundamentals;regression,3,6,interactive,python;pandas;statistics,ml_engineer;data_scientist;ai_engineer,https://www.kaggle.com/learn/intro-to-machine-learning,ml;short;hands-on
c_kaggle_intermediate_ml,Kaggle Intermediate Machine Learning,"Handle missing values, categorical data, pipelines, and cross-validation.",Kaggle,feature_engineering;model_evaluation,3,6,interactive,ml_fundamentals,python;ml_engineer;data_scientist;ai_engineer,https://www.kaggle.com/learn/intermediate-machine-learning,ml;short;hands-on
c_fastai,fast.ai Practical Deep Learning,"Build and train deep learning models on real problems with modern practice.",fast.ai,deep_learning;cnn,4,30,course,ml_fundamentals,numpy;ml_engineer;ai_engineer,https://course.fast.ai/,deep-learning;hands-on
c_deeplearning_ai,Deep Learning Specialization,"In-depth neural networks, optimization, CNNs, sequence models.",DeepLearning.AI,deep_learning;cnn,4,120,course,ml_fundamentals,numpy;statistics;ml_engineer;ai_engineer,https://www.coursera.org/specializations/deep-learning,deep-learning;structured
c_hf_nlp,Hugging Face NLP Course,"Learn transformer models, tokenizers, fine-tuning, and the ecosystem.",Hugging Face,nlp;transform_models,4,20,course,python;deep_learning,ai_engineer;ml_engineer,https://huggingface.co/learn/nlp-course,nlp;llm;hands-on
c_3b1b_nn,3Blue1Brown Neural Networks,"Visual intuition for how neural networks learn: gradients and backpropagation.",3Blue1Brown,deep_learning,3,4,video,ml_fundamentals,ml_engineer;ai_engineer,https://www.youtube.com/playlist?list=PLZHQObOWTQDNU6R1_67000Dx_ZCJB-3pi,deep-learning;video;intuition
